tweet_Id,text,name,screen_name,UTC,created_at,favorites,retweet_count,language,client,tweet_type,urls,hashtags,mentions,media_type,media_urls,,,
1.37E+18,"RT @genemurphy : “If Techstars expands in Mexico, who can help?” with @davidcohen, @sabakarimm, @bfeld, and Inside Techstars. Tuesday, 23 Mar at 23:00 GMT on @joinclubhouse! https://t.co/iMiRx7ttkr",Brad Feld,bfeld,2021-03-17T19:09:37.000Z,Wed Mar 17 19:09:37 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.joinclubhouse.com/event/m3vjAvWM ,0,4,,,,,
1.37E+18,"RT @sxsw : .@bfeld and @rodneysampson will discuss their strategies for operationalizing diversity, equity &amp; inclusion in the ecosystem with Dominic Madori Davis at 3pm on Channel 4. #SXSW https://t.co/keNg3DzOpi https://t.co/EF1T6geqsh",Brad Feld,bfeld,2021-03-17T19:09:10.000Z,Wed Mar 17 19:09:10 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://ow.ly/LJ8d30rAUT1 ,1,2,animated_gif,https://video.twimg.com/tweet_video/EwtBtlBWUAkSl_U.mp4,,,
1.37E+18,Happy Birthday Dad and Dave https://t.co/UY9SUkUUvi,Brad Feld,bfeld,2021-03-17T15:40:50.000Z,Wed Mar 17 15:40:50 +0000 2021,12,2,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/happy-birthday-dad-and-dave.html ,0,0,,,,,
1.37E+18,Writing about SPACs https://t.co/ZZ6qrRNnGv,Brad Feld,bfeld,2021-03-16T16:32:03.000Z,Tue Mar 16 16:32:03 +0000 2021,32,3,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/writing-about-spacs.html ,0,0,,,,,
1.37E+18,"RT @mediarchaeology : we are doing small, masked dances of joy, relief, and gratitude because we have received another year of funding from @bfeld and @google - thx to them we have another year of @rose_alibi working her magic and another year of moving toward in-person MALpractices of all kinds!",Brad Feld,bfeld,2021-03-15T19:50:09.000Z,Mon Mar 15 19:50:09 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,3,,,,,
1.37E+18,Burning Platform: Part 2 of conversation with @bfeld and @IanHathaway https://t.co/ksMGSAmueW,Brad Feld,bfeld,2021-03-15T19:19:58.000Z,Mon Mar 15 19:19:58 +0000 2021,6,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://bit.ly/3bLyLFv ,0,2,,,,,
1.37E+18,$avvy: Women. Money. Freedom. https://t.co/0QW6aNiFwM,Brad Feld,bfeld,2021-03-15T16:25:09.000Z,Mon Mar 15 16:25:09 +0000 2021,10,2,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/avvy-women-money-freedom.html ,0,0,,,,,
1.37E+18,Burning Platform episode with @bfeld and @IanHathaway on Startup Communities https://t.co/q0hUgQzH9z,Brad Feld,bfeld,2021-03-15T14:33:17.000Z,Mon Mar 15 14:33:17 +0000 2021,6,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://bit.ly/3bLqfGA ,0,2,,,,,
1.37E+18,RT @danshapiro : There are some things we do differently at @Glowforge. I wrote a bit about what and why (and what happened as a result): https://t.co/WvJLb4wTZE,Brad Feld,bfeld,2021-03-12T18:23:40.000Z,Fri Mar 12 18:23:40 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://blog.glowforge.com/we-got-a-trophy/ ,0,1,,,,,
1.37E+18,It's so fun to see my childhood Apple II in an animated Tweet. I'm proud of @mediarchaeology   - - - -.  . https://t.co/YCpI4kpOHT,Brad Feld,bfeld,2021-03-11T15:05:57.000Z,Thu Mar 11 15:05:57 +0000 2021,16,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/MAL_catalog/status/1369438014250889222 ,0,1,,,,,
